Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,87.5,-0.185486099,123.3530652,0.045575495,113.2963432,114.5031216,116.391262,119.6293,123.3530652,127.2150383,130.8140342,133.025626,134.4856552
2,88.5,-0.175744476,123.8728276,0.045614432,113.7615336,114.9752341,116.874002,120.1296849,123.8728276,127.7538545,131.3696436,133.5910912,135.0574328
2,89.5,-0.165348396,124.38704,0.045654016,114.2211014,115.4417656,117.351208,120.6245654,124.38704,128.2869845,131.9193587,134.150496,135.6230245
2,90.5,-0.15435722,124.8956114,0.04569445,114.674938,115.9026074,117.8227724,121.113839,124.8956114,128.8143555,132.4631302,134.7038082,136.1824107
2,91.5,-0.142831123,125.398472,0.045735953,115.1229513,116.3576679,118.2886054,121.5974226,125.398472,129.3359181,133.000934,135.2510227,136.7356
2,92.5,-0.130830669,125.895574,0.045778759,115.5650666,116.8068731,118.7486357,122.0752529,125.895574,129.8516474,133.5327731,135.7921628,137.2826306
2,93.5,-0.118416354,126.3868929,0.045823114,116.001227,117.2501678,119.2028114,122.5472882,126.3868929,130.3615441,134.0586782,136.3272809,137.8235707
2,94.5,-0.105648092,126.8724284,0.04586928,116.4313942,117.6875155,119.651101,123.0135084,126.8724284,130.8656354,134.5787089,136.8564598,138.3585197
2,95.5,-0.092584657,127.3522056,0.045917535,116.8555488,118.1188998,120.0934937,123.4739166,127.3522056,131.3639763,135.0929548,137.3798137,138.8876092
2,96.5,-0.079283065,127.8262759,0.045968169,117.2736916,118.5443251,120.5300007,123.92854,127.8262759,131.8566506,135.6015364,137.8974887,139.411004
2,97.5,-0.065797888,128.2947187,0.04602149,117.6858437,118.9638171,120.9606563,124.3774309,128.2947187,132.3437724,136.1046066,138.4096645,139.9289024
2,98.5,-0.0521805,128.757642,0.046077818,118.092048,119.3774239,121.3855185,124.8206679,128.757642,132.8254867,136.602351,138.9165546,140.4415378
2,99.5,-0.03847825,129.2151839,0.046137487,118.4923693,119.7852171,121.8046703,125.2583572,129.2151839,133.3019713,137.0949894,139.4184075,140.9491785
2,100.5,-0.024733545,129.6675143,0.046200842,118.8868959,120.1872927,122.2182208,125.6906338,129.6675143,133.7734371,137.5827768,139.9155075,141.4521292
2,101.5,-0.010982868,130.1148354,0.04626824,119.2757403,120.5837721,122.6263066,126.1176628,130.1148354,134.2401302,138.0660041,140.4081749,141.9507308
2,102.5,0.002744306,130.5573839,0.046340046,119.6590402,120.9748035,123.029093,126.5396411,130.5573839,134.7023324,138.5449986,140.8967672,142.4453609
2,103.5,0.016426655,130.995432,0.046416629,120.0369603,121.3605632,123.4267753,126.9567984,130.995432,135.1603626,139.0201256,141.3816789,142.936434
2,104.5,0.030052231,131.4292887,0.046498361,120.4096928,121.7412571,123.8195805,127.3693994,131.4292887,135.6145777,139.4917879,141.8633417,143.4244013
2,105.5,0.043619747,131.8593015,0.046585611,120.7774598,122.1171219,124.2077692,127.7777448,131.8593015,136.0653737,139.9604267,142.3422248,143.9097502
2,106.5,0.05713988,132.2858574,0.046678741,121.140514,122.4884272,124.5916364,128.1821733,132.2858574,136.5131864,140.4265216,142.818834,144.3930034
