Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,109.5,0.421767514,134.1768801,0.04632579,122.7792983,124.1770596,126.3472542,130.0221657,134.1768801,138.4073433,142.2799654,144.6271767,146.1634368
1,110.5,0.428662551,134.6155076,0.046436662,123.1505962,124.5569064,126.7402123,130.436877,134.6155076,138.8695881,142.7631838,145.1228083,146.6670713
1,111.5,0.436206531,135.0504433,0.04654943,123.5175084,124.9324922,127.1290805,130.8477278,135.0504433,139.3282163,143.2427702,145.6147602,147.1669794
1,112.5,0.44423,135.4817925,0.046663871,123.8802592,125.3040185,127.5140299,131.2548494,135.4817925,139.7833266,143.7188356,146.103159,147.6633011
1,113.5,0.45256176,135.9096813,0.046779748,124.2390993,125.6717122,127.8952551,131.6583952,135.9096813,140.2350389,144.1915122,146.5881531,148.1561991
1,114.5,0.461030578,136.3342577,0.046896817,124.5943049,126.035825,128.2729746,132.0585409,136.3342577,140.6834944,144.6609548,147.0699143,148.6458598
1,115.5,0.469466904,136.7556923,0.047014827,124.9461775,126.3966334,128.6474311,132.4554857,136.7556923,141.1288576,145.1273417,147.5486382,149.132494
1,116.5,0.477704608,137.1741794,0.047133525,125.2950434,126.7544381,129.0188908,132.8494521,137.1741794,141.5713168,145.5908755,148.0245452,149.6163372
1,117.5,0.48558272,137.5899378,0.047252654,125.6412524,127.1095636,129.3876441,133.2406866,137.5899378,142.011085,146.0517839,148.4978811,150.0976507
1,118.5,0.492947182,138.0032114,0.047371961,125.9851773,127.4623576,129.7540048,133.6294604,138.0032114,142.4484014,146.510321,148.9689178,150.5767217
1,119.5,0.499652617,138.4142703,0.047491194,126.3272131,127.8131904,130.1183106,134.0160697,138.4142703,142.8835317,146.9667676,149.4379538,151.0538639
1,120.5,0.505564115,138.8234114,0.047610108,126.6677753,128.1624542,130.4809221,134.4008357,138.8234114,143.3167691,147.421432,149.9053151,151.5294179
1,121.5,0.510559047,139.2309592,0.047728463,127.0072991,128.5105623,130.8422234,134.7841054,139.2309592,143.7484354,147.8746507,150.3713549,152.0037511
1,122.5,0.514528903,139.6372663,0.04784603,127.3462381,128.857948,131.2026207,135.1662516,139.6372663,144.1788815,148.326789,150.8364543,152.4772579
1,123.5,0.517381177,140.042714,0.047962592,127.6850624,129.2050634,131.5625423,135.5476732,140.042714,144.6084877,148.7782409,151.3010223,152.9503596
1,124.5,0.519041285,140.4477127,0.048077942,128.0242572,129.5523785,131.9224379,135.9287948,140.4477127,145.0376645,149.2294296,151.7654951,153.4235035
1,125.5,0.519454524,140.8527022,0.048191889,128.3643208,129.9003795,132.2827776,136.3100669,140.8527022,145.4668527,149.6808068,152.2303363,153.8971624
1,126.5,0.518588072,141.2581515,0.048304259,128.7057627,130.2495672,132.6440511,136.6919657,141.2581515,145.8965233,150.1328531,152.6960355,154.3718335
1,127.5,0.516433004,141.6645592,0.048414893,129.0491015,130.6004555,133.0067661,137.0749922,141.6645592,146.3271773,150.5860767,153.1631074,154.8480367
1,128.5,0.513006312,142.072452,0.048523648,129.394862,130.9535693,133.3714475,137.4596717,142.072452,146.7593449,151.0410123,153.6320904,155.3263129
1,129.5,0.508352901,142.4823852,0.048630402,129.7435732,131.309442,133.738635,137.8465525,142.4823852,147.1935849,151.4982199,154.103544,155.8072211
1,130.5,0.502547502,142.8949403,0.04873505,130.095765,131.6686134,134.1088817,138.2362048,142.8949403,147.630483,151.9582822,154.5780465,156.2913356
1,131.5,0.495696454,143.3107241,0.048837504,130.4519655,132.031627,134.4827517,138.6292185,143.3107241,148.07065,152.4218027,155.0561919,156.7792423
1,132.5,0.487939275,143.7303663,0.048937694,130.8126976,132.3990267,134.8608171,139.0262015,143.7303663,148.5147188,152.8894016,155.5385858,157.2715342
1,133.5,0.479449924,144.1545167,0.049035564,131.1784756,132.771354,135.2436555,139.4277761,144.1545167,148.9633421,153.3617127,156.0258407,157.7688063
1,134.5,0.470437652,144.5838414,0.049131073,131.5498015,133.1491442,135.6318463,139.8345767,144.5838414,149.4171874,153.839378,156.5185711,158.27165
1,135.5,0.461147305,145.0190192,0.049224189,131.9271616,133.5329226,136.0259671,140.2472448,145.0190192,149.876933,154.3230425,157.0173867,158.7806462
1,136.5,0.451858946,145.4607359,0.049314887,132.311022,133.9232006,136.4265892,140.6664253,145.4607359,150.3432618,154.8133474,157.522886,159.2963578
1,137.5,0.442886661,145.9096784,0.049403145,132.7018251,134.3204714,136.8342729,141.0927603,145.9096784,150.8168546,155.3109233,158.0356481,159.8193221
1,138.5,0.434576385,146.3665278,0.049488934,133.0999854,134.7252055,137.2495627,141.5268837,146.3665278,151.2983826,155.8163811,158.5562242,160.3500415
1,139.5,0.427302633,146.8319513,0.049572216,133.5058853,135.1378458,137.6729811,141.9694138,146.8319513,151.7884983,156.3303034,159.085128,160.8889743
1,140.5,0.421464027,147.3065929,0.049652935,133.9198714,135.5588028,138.1050231,142.4209457,147.3065929,152.2878255,156.8532337,159.622826,161.4365245
1,141.5,0.417477538,147.7910635,0.049731004,134.34225,135.9884501,138.5461496,142.8820429,147.7910635,152.7969484,157.3856659,160.1697263,161.993032
1,142.5,0.415771438,148.2859294,0.0498063,134.773284,136.4271185,138.9967803,143.353228,148.2859294,153.3163996,157.9280318,160.7261679,162.5587616
1,143.5,0.416777012,148.7917006,0.04987865,135.2131887,136.8750919,139.4572873,143.8349727,148.7917006,153.8466466,158.4806894,161.2924091,163.133893
1,144.5,0.420919142,149.3088178,0.049947823,135.6621289,137.3326017,139.9279871,144.3276874,149.3088178,154.3880792,159.0439098,161.8686162,163.7185106
1,145.5,0.428606007,149.8376391,0.050013518,136.1202156,137.7998222,140.409134,144.8317108,149.8376391,154.9409947,159.6178646,162.4548526,164.3125939
1,146.5,0.440218167,150.3784267,0.050075353,136.5875035,138.2768661,140.9009122,145.3472981,150.3784267,155.505584,160.2026132,163.0510679,164.9160089
1,147.5,0.456097443,150.9313331,0.050132858,137.0639883,138.7637799,141.403429,145.8746111,150.9313331,156.0819181,160.7980913,163.657089,165.5285004
1,148.5,0.476536014,151.4963887,0.050185471,137.5496052,139.2605402,141.9167079,146.4137069,151.4963887,156.6699351,161.4041,164.2726114,166.1496863
1,149.5,0.501766234,152.0734897,0.050232532,138.0442266,139.7670498,142.4406823,146.9645285,152.0734897,157.2694285,162.0202967,164.897193,166.7790531
1,150.5,0.531951655,152.6623878,0.050273285,138.5476617,140.2831346,142.9751899,147.5268957,152.6623878,157.8800378,162.6461885,165.5302497,167.4159536
1,151.5,0.567179725,153.2626819,0.050306885,139.0596548,140.8085414,143.5199675,148.1004983,153.2626819,158.5012409,163.2811271,166.1710534,168.0596069
1,152.5,0.607456565,153.8738124,0.050332406,139.5798855,141.3429356,144.0746481,148.6848902,153.8738124,159.1323501,163.9243081,166.8187329,168.7091009
1,153.5,0.652704121,154.495058,0.05034886,140.1079685,141.8859002,144.6387576,149.2794857,154.495058,159.7725112,164.5747721,167.4722776,169.3633976
1,154.5,0.702759868,155.1255365,0.050355216,140.6434536,142.4369354,145.2117144,149.8835591,155.1255365,160.4207062,165.2314109,168.1305444,170.0213408
1,155.5,0.757379106,155.7642086,0.050350423,141.1858268,142.9954591,145.7928297,150.4962462,155.7642086,161.0757603,165.892976,168.7922681,170.6816665
1,156.5,0.816239713,156.4098858,0.050333444,141.7345116,143.5608087,146.3813098,151.1165487,156.4098858,161.7363527,166.5580917,169.4560742,171.3430163
1,157.5,0.878947416,157.0612415,0.050303283,142.2888712,144.1322433,146.9762604,151.7433416,157.0612415,162.4010311,167.2252714,170.1204959,172.0039535
